id,family,claim,statistic,chi2,df,p_raw,p_fdr,main_beta,main_p,n_obs,converged
E8,Cross-cohort,Threshold x HPR (EP vs SH),"chi2=17.94, df=4",17.941616921808045,4.0,0.001266944996648985,0.003800834989946955,-12.246489990252064,0.010481918566839953,3644,True
E9,Cross-cohort,Threshold x HPR (EP vs NE),"chi2=15.43, df=4",15.43110162820989,4.0,0.0038857396229882483,0.005828609434482372,-10.510056151343203,0.0014781469678842132,3393,True
E1,HHL-core,Gain x HPR (NE vs SH),"chi2=16.66, df=4",16.664663370710315,4.0,0.0022454557110998027,0.00898182284439921,-0.058242345731518035,0.08251178771399319,5571,True
E_SP1,Spread,Gain deviation x HPR (NE vs SH),"chi2=10.03, df=4",10.032583524883673,4.0,0.039882379098983324,0.039882379098983324,-0.015486357747288128,0.3899680176288053,5571,True
E_SR1,HHL-core,Spontaneous rate x HPR (NE vs SH),"chi2=11.26, df=4",11.263256195296483,4.0,0.023759382869271074,0.04751876573854215,0.7847015052611022,0.4707275713974505,3125,True
E10,Cross-cohort,Threshold x HPR (PP vs SH),"chi2=9.42, df=4",9.422050080866065,4.0,0.05137382301237339,0.05137382301237339,-12.726453548162183,0.0070973719785210445,3667,True
E_SP2,Spread,Threshold deviation x HPR (NE vs SH),"chi2=10.66, df=4",10.660307398124118,4.0,0.03065899508561163,0.06131799017122326,0.3312038987113198,0.9047952018913303,5571,True
E_SR2,CHL,Spontaneous rate EP vs PP (all HPRs),"beta=-0.4691, SE=0.2791",,,0.0928015595202825,0.46400779760141253,,,1675,True
E_DR1,FI,Dynamic range x HPR (NE vs SH),"chi2=3.05, df=4",3.0513297362732192,4.0,0.5492725426495813,0.8239088139743719,-2.625888818675966,0.26255711486664834,3125,True
E_FI2,FI,log(FI_24-50dB) at HPR30 (NE vs SH),"beta=-0.3715, SE=0.3417",,,0.27700916982619506,0.8310275094785852,,,625,True
E3,HHL-core,sigma_Unif NE < SH (exploratory),"beta=1.1268, SE=6.9624",,,0.8714278464630909,0.8714278464630909,,,1000,True
E6,CHL,Spike rate EP > PP (within-subject),"beta=-0.1790, SE=0.2939",,,0.5424950738021235,0.9041584563368724,,,1675,True
E4,HHL-core,Threshold x HPR (NE vs SH),"chi2=2.25, df=4",2.2505360627110162,4.0,0.6897886004241036,0.9197181338988049,-1.7764509680600744,0.694286317641076,5571,True
E_FI1,FI,log(total_FI) x HPR (NE vs SH),"chi2=0.64, df=4",0.6378577550858227,4.0,0.9587653396818718,0.9587653396818719,-0.352121320391279,0.2939113854356612,3125,True
E_FI3,CHL,log(total_FI) x HPR (EP vs PP),"chi2=0.34, df=4",0.34087096291286784,4.0,0.9870253109755315,0.9870253109755314,0.26499508739014915,0.023537623123688182,1675,True
E5,CHL,Threshold EP > PP (within-subject),"beta=-0.8306, SE=1.0552",,,0.43120343629139746,1.0,,,1489,True
E7,CHL,Gain x HPR (EP vs PP),"chi2=0.67, df=4",0.6727961215032316,4.0,0.954640852083187,1.0,0.020947934479790948,0.3427677201975198,1489,True
